frame,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,unix_timestamp
0,0.000,-1.312,8.681,1.319,6.51145,-10.85496,-0.11450,1750160374.3011162
1,0.033,0.606,9.680,1.645,-13.49618,-7.64885,-1.41985,1750160374.340057
2,0.066,1.496,10.853,0.852,-24.11450,8.93130,10.19847,1750160374.3825443
3,0.099,1.614,13.053,3.460,-31.16794,45.67176,38.80153,1750160374.4349198
4,0.132,0.694,11.076,4.841,-31.41221,66.33588,28.35878,1750160374.4718869
5,0.165,-1.137,8.025,5.351,0.23664,42.90076,2.82443,1750160374.5108292
6,0.198,-2.224,6.804,3.915,-10.19847,14.25954,7.50382,1750160374.5475783
7,0.231,-0.354,7.997,3.263,-24.03053,7.88550,26.19084,1750160374.5834332
8,0.264,1.784,11.475,2.461,-20.58779,27.06870,6.39695,1750160374.6248074
9,0.297,1.128,12.989,3.103,0.29008,28.46565,-21.57252,1750160374.6624033
10,0.330,0.290,10.218,2.179,40.45802,29.56489,-29.28244,1750160374.6993172
11,0.363,0.218,8.200,1.786,26.72519,32.19847,-29.03053,1750160374.7365987
12,0.396,0.086,7.898,1.307,6.06870,27.06107,-31.24427,1750160374.7734015
13,0.429,0.007,8.183,1.094,9.74046,20.56489,-11.87786,1750160374.8104353
14,0.462,0.376,8.224,0.548,21.30534,18.56489,9.05344,1750160374.8476155
15,0.495,0.804,8.064,-0.218,17.67939,25.91603,15.41221,1750160374.8835351
16,0.528,1.812,10.106,0.797,-4.77099,38.77099,7.45802,1750160374.9215505
17,0.561,-0.127,11.351,2.320,-19.77863,24.64885,-25.19847,1750160374.9575078
18,0.594,0.074,10.922,0.441,-10.39695,12.54962,-34.00000,1750160374.995365
19,0.627,0.833,12.637,2.231,-23.82443,9.92366,-48.09160,1750160375.031323
20,0.660,-0.558,13.027,3.773,-43.14504,3.76336,-56.32061,1750160375.0694392
21,0.693,-0.113,11.284,4.302,-5.95420,-3.42748,-53.19084,1750160375.105409
22,0.726,1.982,7.046,4.678,18.90840,21.41985,-33.37405,1750160375.1433957
23,0.759,2.976,6.215,3.290,1.34351,52.91603,-25.51145,1750160375.1792552
24,0.792,0.831,10.676,2.662,-37.35878,62.21374,-21.80153,1750160375.2172084
25,0.825,-1.245,11.444,2.198,-12.38931,46.75573,3.37405,1750160375.253093
26,0.858,-1.686,10.609,1.882,0.44275,35.03817,37.12214,1750160375.291121
27,0.891,-1.556,12.134,2.588,20.63359,19.15267,29.63359,1750160375.327105
28,0.924,-0.129,9.589,2.207,48.22137,15.67176,18.51908,1750160375.3650386
29,0.957,0.747,7.451,1.652,43.86260,17.87023,9.40458,1750160375.4009535
30,0.990,0.555,6.833,1.757,29.74809,14.49618,-2.99237,1750160375.4393735
31,1.023,-0.996,8.270,0.716,20.38168,7.93130,-12.24427,1750160375.4754372
32,1.056,-0.836,8.866,0.752,7.18321,3.70229,-21.58015,1750160375.5136504
33,1.089,0.649,10.192,2.923,-5.12977,4.60305,-29.39695,1750160375.5496786
34,1.122,2.274,8.832,0.364,-1.14504,19.70992,-24.08397,1750160375.5877233
35,1.155,-1.341,9.656,-0.163,-43.69466,19.60305,15.45038,1750160375.6238272
36,1.188,-2.128,13.376,5.306,-102.16031,28.62595,33.38168,1750160375.6622546
37,1.221,2.401,12.704,5.578,-33.77863,60.15267,33.36641,1750160375.7016761
38,1.254,0.376,8.368,3.819,22.46565,45.70229,3.68702,1750160375.7363262
39,1.287,-0.579,7.642,3.783,-26.58779,40.49618,7.25954,1750160375.77229
40,1.320,1.626,12.799,2.758,-45.84733,59.09160,0.98473,1750160375.8107069
41,1.353,1.702,11.303,2.648,0.51145,65.96183,-19.31298,1750160375.8473032
42,1.386,1.422,9.390,1.571,-1.03053,84.91603,-31.12214,1750160375.88538
43,1.419,1.176,10.053,1.475,-9.10687,104.93130,-32.79389,1750160375.9215257
44,1.452,0.335,10.015,1.595,17.39695,104.25954,-29.54962,1750160375.9622262
45,1.485,-0.381,9.160,1.132,26.88550,92.77863,-23.50382,1750160375.9960117
46,1.518,-1.197,7.879,0.596,21.67176,79.58015,-1.02290,1750160376.0422604
47,1.551,-1.082,8.109,0.369,20.23664,71.87023,13.20611,1750160376.0757287
48,1.584,-0.089,9.029,0.757,17.05344,64.69466,8.94656,1750160376.1142871
49,1.617,0.632,9.687,0.484,3.93130,62.25191,-6.00763,1750160376.1506789
50,1.650,-0.366,10.848,2.291,-11.35115,48.19084,-20.84733,1750160376.1893291
51,1.683,-0.888,10.635,1.353,1.32824,35.81679,-14.19847,1750160376.225475
52,1.716,-1.513,11.942,2.337,-23.51145,28.76336,-27.32824,1750160376.2646103
53,1.749,-1.120,13.791,4.554,-37.25954,13.81679,-56.38168,1750160376.3011346
54,1.782,1.750,10.673,3.881,29.94656,31.86260,-52.25954,1750160376.3401136
55,1.815,3.622,6.495,3.984,31.25191,80.56489,-61.77099,1750160376.3764782
56,1.848,5.246,5.808,1.293,-21.32824,111.02290,-32.12977,1750160376.4156542
57,1.881,1.053,12.775,2.234,-36.42748,93.00763,-4.51145,1750160376.4520392
58,1.914,-2.222,9.934,1.166,10.99237,82.09160,12.54198,1750160376.4912806
59,1.947,-0.953,9.050,1.195,-9.78626,79.34351,18.55725,1750160376.5276976
60,1.980,0.364,10.127,1.839,8.08397,85.80153,7.58779,1750160376.566756
61,2.013,-0.101,9.158,2.579,51.45802,82.09160,-11.98473,1750160376.6051223
62,2.046,-0.757,8.143,2.298,43.44275,68.89313,-17.79389,1750160376.6386247
63,2.079,-2.318,7.839,1.104,16.32824,42.77099,-13.60305,1750160376.6752844
64,2.112,-1.930,9.357,1.504,0.82443,21.29771,-20.09924,1750160376.7143772
65,2.145,-0.333,9.436,0.687,-5.20611,18.55725,-15.65649,1750160376.7508247
66,2.178,-0.632,10.685,1.120,-1.58015,18.69466,-19.80916,1750160376.7902906
67,2.211,1.120,10.697,1.350,-2.13740,29.30534,-18.18321,1750160376.824212
68,2.244,0.781,10.185,0.871,-21.40458,50.36641,-4.91603,1750160376.867483
69,2.277,0.807,11.899,4.695,-52.39695,69.22901,6.95420,1750160376.9070897
70,2.310,1.243,11.514,4.870,-42.83969,81.82443,9.48855,1750160376.9459746
