frame,sync_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,unix_timestamp
0,0.0,0.364,10.127,1.839,8.08397,85.80153,7.58779,1750160376.566756
1,0.03333333333333333,-0.101,9.158,2.579,51.45802,82.0916,-11.98473,1750160376.6000893
2,0.06666666666666667,-0.757,8.143,2.298,43.44275,68.89313,-17.79389,1750160376.6334226
3,0.1,-2.318,7.839,1.104,16.32824,42.77099,-13.60305,1750160376.666756
4,0.13333333333333333,-1.93,9.357,1.504,0.82443,21.29771,-20.09924,1750160376.7000895
5,0.16666666666666666,-0.333,9.436,0.687,-5.20611,18.55725,-15.65649,1750160376.7334228
6,0.2,-0.632,10.685,1.12,-1.58015,18.69466,-19.80916,1750160376.766756
7,0.23333333333333334,1.12,10.697,1.35,-2.1374,29.30534,-18.18321,1750160376.8000894
8,0.26666666666666666,0.781,10.185,0.871,-21.40458,50.36641,-4.91603,1750160376.8334227
9,0.3,0.807,11.899,4.695,-52.39695,69.22901,6.9542,1750160376.866756
10,0.3333333333333333,1.243,11.514,4.87,-42.83969,81.82443,9.48855,1750160376.9000893
11,0.36666666666666664,-2.38,7.951,5.236,1.71756,56.98473,-10.53435,1750160376.9334226
12,0.4,-2.083,7.891,4.571,-14.51908,42.28244,-2.83969,1750160376.966756
13,0.43333333333333335,2.569,11.897,4.226,-30.48092,72.28244,1.25954,1750160377.0000894
14,0.4666666666666667,3.168,11.401,2.926,-3.71756,67.0,-32.46565,1750160377.0334227
15,0.5,0.347,9.021,1.963,1.41985,76.53435,-40.21374,1750160377.066756
16,0.5333333333333333,0.278,9.206,1.736,-3.49618,85.14504,-36.1145,1750160377.1000893
17,0.5666666666666667,0.333,9.641,1.549,3.57252,84.37405,-30.12977,1750160377.1334226
18,0.6,0.235,8.854,1.75,16.59542,71.83206,-29.0916,1750160377.166756
19,0.6333333333333333,1.434,8.686,0.97,-15.98473,78.80916,-19.26718,1750160377.2000895
20,0.6666666666666666,-1.465,8.792,1.135,-9.45038,71.16794,-0.24427,1750160377.2334228
21,0.7,-1.812,8.301,0.73,8.70229,42.67939,3.58015,1750160377.266756
22,0.7333333333333333,0.824,8.44,0.9,14.34351,38.25191,15.79389,1750160377.3000894
23,0.7666666666666666,1.951,9.524,0.828,21.8855,48.9771,23.60305,1750160377.3334227
24,0.8,1.621,11.241,0.225,11.43511,74.36641,16.47328,1750160377.366756
25,0.8333333333333334,-0.002,11.77,1.384,-6.29771,74.64122,-12.80916,1750160377.4000893
26,0.8666666666666667,-1.123,11.87,2.619,-11.81679,38.9771,-34.80153,1750160377.4334226
27,0.9,-2.844,11.648,4.096,-39.54962,-2.73282,-36.67176,1750160377.466756
28,0.9333333333333333,-1.41,10.783,4.578,-6.03053,-28.94656,-19.01527,1750160377.5000894
29,0.9666666666666667,1.674,9.074,5.514,10.34351,-12.09924,-21.83969,1750160377.5334227
30,1.0,4.132,7.286,3.505,-2.49618,37.63359,-49.58015,1750160377.566756
31,1.0333333333333332,6.036,8.77,2.528,-40.65649,53.77099,-58.09924,1750160377.6000893
32,1.0666666666666667,0.034,13.465,1.949,-19.9542,48.0,-2.51908,1750160377.6334226
33,1.1,-0.412,9.256,3.242,13.0458,49.52672,43.12214,1750160377.666756
34,1.1333333333333333,-1.927,8.655,2.049,14.72519,38.25954,35.34351,1750160377.7000895
35,1.1666666666666667,-0.639,8.564,2.332,14.53435,19.35878,13.70229,1750160377.7334228
36,1.2,0.555,8.526,1.36,11.82443,9.82443,7.62595,1750160377.766756
37,1.2333333333333334,0.182,8.282,0.711,12.31298,5.19084,1.32824,1750160377.8000894
38,1.2666666666666666,-0.369,8.131,0.39,2.51145,-3.06107,-5.94656,1750160377.8334227
39,1.3,-0.45,9.934,0.874,-14.1374,-16.32824,-2.9313,1750160377.866756
40,1.3333333333333333,0.065,10.898,2.863,-11.1374,5.52672,12.80916,1750160377.9000893
41,1.3666666666666667,0.761,10.032,0.874,-10.81679,13.22137,26.80916,1750160377.9334226
42,1.4,-0.819,11.574,3.163,-35.10687,9.61069,34.0229,1750160377.966756
43,1.4333333333333333,0.699,13.666,4.001,-51.18321,2.52672,29.70992,1750160378.0000894
44,1.4666666666666666,0.328,11.507,4.659,-14.94656,-2.0916,16.33588,1750160378.0334227
45,1.5,-0.467,8.533,4.93,5.32061,-28.36641,9.92366,1750160378.066756
46,1.5333333333333332,-0.869,7.798,3.687,0.36641,-38.16031,14.52672,1750160378.1000893
47,1.5666666666666667,1.31,10.618,2.928,-15.41985,-33.9542,6.08397,1750160378.1334226
48,1.6,0.409,9.39,2.028,16.58015,-24.75573,-12.8626,1750160378.166756
49,1.6333333333333333,0.651,8.492,1.769,13.94656,-19.9542,-2.73282,1750160378.2000895
50,1.6666666666666667,0.484,8.72,1.949,17.74046,-17.94656,0.33588,1750160378.2334228
51,1.7,0.639,8.617,1.908,24.19084,-19.72519,0.61832,1750160378.266756
52,1.7333333333333334,1.329,8.143,1.12,20.81679,-16.41221,14.22901,1750160378.3000894
53,1.7666666666666666,1.482,8.454,0.802,18.45038,-4.82443,20.43511,1750160378.3334227
54,1.8,1.654,8.928,0.163,14.25191,5.77099,15.35115,1750160378.366756
55,1.8333333333333333,2.909,9.627,0.776,1.12977,16.77099,5.25954,1750160378.4000893
56,1.8666666666666667,1.214,11.114,2.868,-19.94656,7.69466,-11.53435,1750160378.4334226
57,1.9,-1.025,11.411,1.348,-13.18321,-19.64122,-22.79389,1750160378.466756
58,1.9333333333333333,0.314,11.413,1.326,1.57252,-36.35878,-24.62595,1750160378.5000894
59,1.9666666666666666,0.553,12.093,3.373,-27.57252,-33.91603,-34.80153,1750160378.5334227
60,2.0,0.898,12.728,5.679,-19.9313,-43.21374,-55.42748,1750160378.566756
61,2.033333333333333,2.059,8.279,4.082,37.72519,-17.9084,-38.01527,1750160378.6000893
62,2.0666666666666664,3.268,5.669,3.56,3.41221,19.28244,-20.8855,1750160378.6334226
63,2.1,2.983,9.692,1.326,-34.10687,28.76336,-8.99237,1750160378.666756
64,2.1333333333333333,-1.211,10.898,2.698,4.40458,8.52672,7.76336,1750160378.7000895
65,2.1666666666666665,-1.829,9.108,2.749,4.10687,-0.91603,25.29008,1750160378.7334228
66,2.2,0.089,9.474,2.883,0.93893,-17.76336,15.03817,1750160378.766756
67,2.2333333333333334,1.714,9.409,2.176,11.0229,-2.8855,14.46565,1750160378.8000894
68,2.2666666666666666,1.935,9.021,1.602,21.01527,10.12977,8.44275,1750160378.8334227
69,2.3,0.998,8.444,1.12,19.64885,17.49618,1.16794,1750160378.866756
70,2.3333333333333335,-0.223,8.921,0.898,11.03817,6.57252,-2.79389,1750160378.9000893
71,2.3666666666666667,-1.257,9.347,0.845,8.58779,-11.77863,0.25954,1750160378.9334226
72,2.4,-1.089,9.369,1.968,-8.83969,-12.48855,11.25191,1750160378.966756
73,2.433333333333333,2.073,9.807,-0.067,-29.37405,2.80916,15.26718,1750160379.0000894
74,2.466666666666667,0.488,11.483,1.41,-24.81679,3.9084,22.76336,1750160379.0334227
75,2.5,1.156,12.749,5.926,-64.77863,31.61832,41.58779,1750160379.066756
